TIME,COURSE,IMP_MSHS_CLASS,IM_MSHS_CLUB,IM_COMPETIT,IM_AFTERSCHOOL,IM_SUMMERCAMP,IM_APCLASS,IM_DUAL,IM_FAM_INFLU,IM_FAM_WORK,IM_HSTEACH,IM_EMPLOY,IM_STUDENT,IM_WORK,IM_OTHER,DEG_PROGRAM,MOT_JOB,MOT_BACH,MOT_HS,MOT_CAR_AD,MOT_CAR_CHG,MOT_PROFDEV,MOT_JOBDIS,MOT_RELOC,MOT_CURRENT,MOT_IT_CERT,MOT_FINAN,MOT_PERS,FIRST_CHOICE,MORE_CLASS,MORE_CLASS_WHY,GENDER,AGE
2020/09/17 12:23:10 AM EST,CMP 128 Computer Science I,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Business,,,,,,,,,,,,,,1,"just taking it as an elective, nothing personal against the community of technical field but just not a big fan",Man,19-20
2020/09/17 12:59:31 PM EST,CMP 128 Computer Science I,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No Impact,No Impact,N/A,N/A,N/A,N/A,N/A,Computer Science,Yes,,,,,,,,,,,,First Choice,,,Man,18 and younger
2020/09/17 1:14:08 PM EST,CMP 131 Fundamentals of Programming (Python),Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,High Impact,No Impact,High Impact,No Impact,N/A,Information Technology,Yes,,,,,,,,,Yes,,Yes,Culinary ,,,Man,19-20
2020/09/17 1:15:04 PM EST,CMP 131 Fundamentals of Programming (Python),No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Information Security Certificate of Achievement,Yes,,,Yes,Yes,Yes,,,,Yes,,,First Choice,,,Woman,35-64
2020/09/17 1:15:58 PM EST,CMP 131 Fundamentals of Programming (Python),Some Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,Some Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,Information Technology,Yes,Yes,,Yes,,,,,Yes,,Yes,,Computer Science,,,Man,18 and younger
2020/09/17 1:16:33 PM EST,CMP 131 Fundamentals of Programming (Python),Some Impact,Some Impact,Some Impact,Some Impact,N/A,High Impact,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Computer Science,Yes,,,,,,,,,,,,First Choice,,,Woman,21-24
2020/09/17 1:16:41 PM EST,CMP 131 Fundamentals of Programming (Python),No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,Information Security Certificate of Achievement,Yes,,,,,,,,,,,,First Choice,,,Man,19-20
2020/09/17 1:17:25 PM EST,CMP 131 Fundamentals of Programming (Python),No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Information Technology,,,,,,,,,,Yes,Yes,,music engineering,,,Man,35-64
2020/09/17 1:18:26 PM EST,CMP 131 Fundamentals of Programming (Python),Some Impact,Some Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,Some Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,Computer Science,Yes,Yes,,,,,,,,,,Yes,First Choice,,,Man,18 and younger
2020/09/17 1:18:42 PM EST,CMP 131 Fundamentals of Programming (Python),Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,High Impact,High Impact,Some Impact,Some Impact,High Impact,Some Impact,Some Impact,Information Technology,Yes,Yes,Yes,Yes,,Yes,,,,Yes,,,First Choice,,,Man,21-24
2020/09/17 1:22:17 PM EST,CMP 131 Fundamentals of Programming (Python),No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Information Technology,Yes,Yes,,Yes,,Yes,,,Yes,Yes,,,First Choice,,,Man,25-34
2020/09/17 1:22:43 PM EST,CMP 239 Internet & Web Page Design,Some Impact,Some Impact,High Impact,Some Impact,No Impact,N/A,N/A,Some Impact,High Impact,N/A,N/A,N/A,N/A,N/A,Information Technology,,,Yes,,,,,,,,,,First Choice,,,Man,18 and younger
2020/09/17 1:25:09 PM EST,CMP 131 Fundamentals of Programming (Python),No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Non Degree seeking,,,,,,,,,,,,,,3,Im looking to learn coding but not to become a computer science ,Man,19-20
2020/09/17 1:26:27 PM EST,CMP 131 Fundamentals of Programming (Python),No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,N/A,Information Technology,Yes,Yes,,,,,,,,Yes,,Yes,First Choice,,,Man,19-20
2020/09/17 2:07:18 PM EST,CMP 128 Computer Science I,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,Mathematics,,,,,,,,,,,,,,4,"I am truly interested in learning about computing, and the tools and knowledge associated with programming. ",Prefer not to say,21-24
2020/09/17 2:13:10 PM EST,CMP 128 Computer Science I,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,High Impact,Computer Science,Yes,Yes,,,,,,,,,Yes,Yes,First Choice,,,Man,21-24
2020/09/17 2:37:58 PM EST,CMP 128 Computer Science I,Some Impact,N/A,Some Impact,N/A,Some Impact,N/A,N/A,Some Impact,N/A,Some Impact,N/A,N/A,N/A,High Impact,Challenger Program,,,,,,,,,,,,Yes,N/A,,,Man,18 and younger
2020/09/19 10:12:54 AM EST,CMP 128 Computer Science I,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Mechanical Engineering Technology,,,,,,,,,,,,,,4,This is the future for engineering,Man,21-24
2020/09/20 1:35:21 PM EST,CMP 128 Computer Science I,Some Impact,Some Impact,High Impact,Some Impact,Some Impact,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CIS Game Development,Yes,Yes,,Yes,,Yes,,,,Yes,Yes,Yes,First Choice,,,Man,19-20
2020/09/20 1:35:25 PM EST,CMP 128 Computer Science I,Some Impact,Some Impact,High Impact,Some Impact,Some Impact,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CIS Game Development,Yes,Yes,,Yes,,Yes,,,,Yes,Yes,Yes,First Choice,,,Man,19-20
2020/09/20 7:23:34 PM EST,CMP 128 Computer Science I,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,Mechanical Engineering Technology,,,,,,,,,,,,,,2,"I have a lot of experience with computers. Having built many, I know the workings of a computer and how to use them. At this point, I really am only interested in learning different programs that I have had no experience with that would benefit my degree.",Man,19-20
2020/09/20 10:47:44 PM EST,CMP 128 Computer Science I,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,Computer Science,Yes,Yes,,Yes,,Yes,,,Yes,,Yes,Yes,First Choice,,,Woman,18 and younger
2020/09/21 7:01:55 AM EST,CMP 128 Computer Science I,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Some Impact,N/A,N/A,N/A,High Impact,N/A,Computer Science,Yes,,,Yes,,,Yes,,Yes,,,,First Choice,,,Man,18 and younger
2020/09/21 7:16:50 AM EST,CMP 131 Fundamentals of Programming (Python),High Impact,N/A,N/A,N/A,N/A,N/A,N/A,High Impact,N/A,High Impact,N/A,N/A,N/A,N/A,ShareTime CSIP Program,Yes,,,,,Yes,,,,Yes,,,First Choice,,,Man,18 and younger
2020/09/21 7:17:49 AM EST,CMP 131 Fundamentals of Programming (Python),High Impact,N/A,High Impact,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ShareTime CSIP Program,Yes,,,,,,,,,,,,First Choice,,,Man,18 and younger
2020/09/21 7:18:07 AM EST,CMP 131 Fundamentals of Programming (Python),No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,Non Degree seeking,,,,,,,,,,,,,,3,Don’t really have much interest. ,Woman,18 and younger
