TIME,COURSE,IM_MSHS_CLASS,IM_MSHS_CLUB,IM_COMPETIT,IM_AFTERSCHOOL,IM_SUMMERCAMP,IM_APCLASS,IM_DUAL,IM_FAM_INFLU,IM_FAM_WORK,IM_HSTEACH,IM_EMPLOY,IM_STUDENT,IM_WORK,IM_OTHER,DEG_PROGRAM,MOT_JOB,MOT_BACH,MOT_HS,MOT_CAR_AD,MOT_CAR_CHG,MOT_PROFDEV,MOT_JOBDIS,MOT_RELOC,MOT_CURRENT,MOT_IT_CERT,MOT_FINAN,MOT_PERS,FIRST_CHOICE,MORE_CLASS,MORE_CLASS_WHY,GENDER,AGE
2020/09/24 5:52:54 PM EST,CMP 131 Fundamentals of Programming (Python),0,0,0,0,0,0,0,0,0,0,0,0,0,1,Information Tech0logy,1,,,,,,,,,1,,,First Choice,,,Woman,19-20
2020/09/24 6:38:53 PM EST,CMP 120 Foundations of Information Security,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Information Tech0logy,1,,,,,,,,,,,,First Choice,,,Man,19-20
2020/09/24 6:52:46 PM EST,CMP 128 Computer Science I,2,0,0,0,0,0,0,2,0,2,0,2,0,0,CIS Game Development,1,,,1,,1,,,1,,,,First Choice,,,Woman,18 and younger
2020/09/24 7:43:43 PM EST,CMP 128 Computer Science I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CIS Game Development,,1,,,,,,,,,,,First Choice,,,Man,18 and younger
2020/09/24 9:44:52 PM EST,CMP 130 Intro to IT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Information Tech0logy,1,,,,,,,,,,,,First Choice,,,Man,25-34
2020/09/24 10:15:13 PM EST,CMP 120 Foundations of Information Security,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Information Security Certificate of Achievement,,,,,,,,,,1,,,First Choice,,,Man,25-34
2020/09/24 10:17:30 PM EST,CMP 130 Intro to IT,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,Computer Science,1,1,,,1,,,,,,,,First Choice,,,Man,35-64
2020/09/24 10:34:04 PM EST,CMP 131 Fundamentals of Programming (Python),1,0,0,0,0,0,0,2,2,0,0,2,0,0,Computer Science,1,,,1,1,,1,,,,,1,First Choice,,,Man,25-34
2020/09/24 11:44:26 PM EST,CMP 128 Computer Science I,0,0,1,0,0,0,0,0,0,0,0,0,0,0,ShareTime CSIP Program,1,,,1,,,,,,,,,First Choice,,,Man,18 and younger
2020/09/25 1:01:40 AM EST,CMP 130 Intro to IT,0,0,1,0,0,0,1,1,1,1,0,1,0,0,Information Tech0logy,1,,,,,1,,,,1,,,First Choice,,,Man,18 and younger
2020/09/25 6:17:57 AM EST,CMP 120 Foundations of Information Security,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Information Tech0logy,1,,,,,,,,,,,,First Choice,,,Man,19-20
2020/09/25 8:15:18 AM EST,CMP 128 Computer Science I,2,0,1,0,0,0,0,2,2,1,0,2,1,0,Computer Science,1,1,,1,,1,,,1,,1,,Biology,,,Man,19-20
2020/09/25 9:15:53 AM EST,CMP 128 Computer Science I,2,0,0,0,0,0,0,1,1,0,0,0,0,1,Computer Science,1,1,,1,,,,,1,1,1,,First Choice,,,Man,18 and younger
2020/09/25 9:16:06 AM EST,CMP 128 Computer Science I,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,Computer Science,1,1,,,,1,,,,,,,First Choice,,,Man,18 and younger
2020/09/25 10:18:08 AM EST,CMP 120 Foundations of Information Security,1,1,1,N/A,1,1,N/A,1,1,0,0,N/A,0,N/A,Computer Science,1,1,,,,,,,,,,,First Choice,,,Prefer 0t to say,21-24
